block_number,ts,gas_used,gas_limit,tx_count,avg_priority_fee_gwei
23936431,2025-12-03 16:26:47-08,59991378,60000000,431,0.6455446804378882
23936432,2025-12-03 16:26:59-08,26472185,60000000,304,0.6933848365210727
23936433,2025-12-03 16:27:11-08,11662565,60000000,219,0.6130137805948718
23936434,2025-12-03 16:27:23-08,47009410,60000000,239,0.8009944522616279
23936435,2025-12-03 16:27:35-08,25293388,60000000,265,0.36809828183414633
23936436,2025-12-03 16:27:47-08,13619882,59941408,69,1.0427009542622951
23936437,2025-12-03 16:27:59-08,15377166,59999943,104,0.935471496075
23936438,2025-12-03 16:28:11-08,59981014,60000000,151,0.8652790716115702
23936439,2025-12-03 16:28:23-08,29900597,60000000,122,1.3431176205566038
23936440,2025-12-03 16:28:35-08,38769589,60000000,188,0.6270717366794872
23936441,2025-12-03 16:28:47-08,59957420,60000000,490,0.2446138075988372
23936442,2025-12-03 16:28:59-08,11747396,60000000,64,1.3432739339444444
23936443,2025-12-03 16:29:11-08,32956053,59941408,258,0.7812529645751073
23936444,2025-12-03 16:29:23-08,43306116,59882873,375,0.5502750568506787
23936445,2025-12-03 16:29:35-08,40829711,59824395,585,0.28965512933394155
23936446,2025-12-03 16:29:47-08,39053752,59765974,195,0.6738402789036144
23936447,2025-12-03 16:29:59-08,20947506,59707610,158,0.6122804601760564
23936448,2025-12-03 16:30:11-08,36547564,59765917,522,0.41834655921014496
23936449,2025-12-03 16:30:23-08,22181170,59824281,213,0.9639000716352202
23936450,2025-12-03 16:30:35-08,22437825,59882702,131,0.9780775941946902
23936451,2025-12-03 16:30:47-08,15753486,59824224,178,1.2600260471716418
23936452,2025-12-03 16:30:59-08,14505341,59882645,118,1.389610856531915
23936453,2025-12-03 16:31:11-08,55946556,59941123,644,0.7263400238896104
23936454,2025-12-03 16:31:23-08,10721470,59882588,101,1.1790892325844158
23936455,2025-12-03 16:31:35-08,33008176,59941066,372,0.5509408669320001
23936456,2025-12-03 16:31:47-08,32475889,59882531,274,0.6054140632816326
23936457,2025-12-03 16:31:59-08,1187527,59824053,32,3.0137168638333334
23936458,2025-12-03 16:32:11-08,59869708,59882473,373,0.6114194396414343
23936459,2025-12-03 16:32:23-08,41846616,59823996,597,0.37874532383894227
23936460,2025-12-03 16:32:35-08,25008810,59882416,328,0.4416972458492647
23936461,2025-12-03 16:32:47-08,16304920,59823939,151,0.6245065275187971
23936462,2025-12-03 16:33:11-08,39533188,59882359,541,0.9419394539862258
23936463,2025-12-03 16:33:23-08,25860678,59823882,279,0.7043662570585365
23936464,2025-12-03 16:33:35-08,19747809,59765462,257,0.48381904983536583
23936465,2025-12-03 16:33:47-08,18892095,59823825,119,1.002597775346154
23936466,2025-12-03 16:33:59-08,45851148,59882245,354,0.48978378627210883
23936467,2025-12-03 16:34:11-08,27205232,59823768,268,0.9333612610638298
23936468,2025-12-03 16:34:23-08,16567374,59882188,145,0.8147292891439394
23936469,2025-12-03 16:34:35-08,13612805,59823711,118,0.7654668144375
23936470,2025-12-03 16:34:47-08,59571075,59882131,145,0.9448853495436894
23936471,2025-12-03 16:34:59-08,46170886,59823654,262,0.544948339357513
23936472,2025-12-03 16:35:11-08,37007073,59882074,322,0.4991301414597315
23936473,2025-12-03 16:35:23-08,30682220,59940551,269,0.5033536275209303
23936474,2025-12-03 16:35:35-08,25773509,59999085,200,0.7126721559491526
23936475,2025-12-03 16:35:47-08,23278133,60000000,211,0.6132020694827587
23936476,2025-12-03 16:35:59-08,19447356,59941408,188,0.8221388147857143
23936477,2025-12-03 16:36:11-08,27915718,59999943,224,0.7303486958314607
23936478,2025-12-03 16:36:23-08,12073198,59941351,145,0.23438394282706768
23936479,2025-12-03 16:36:35-08,59997188,59999886,212,1.0883878349337348
23936480,2025-12-03 16:36:47-08,14411514,59941294,185,1.2853354052040815
23936481,2025-12-03 16:36:59-08,26019929,59999829,255,0.6036255288773006
23936482,2025-12-03 16:37:11-08,59934602,59941237,317,0.6026498670528455
23936483,2025-12-03 16:37:23-08,30797603,59999772,319,0.47160696952797204
23936484,2025-12-03 16:37:35-08,332360,59941180,11,3.4563636363636365
23936485,2025-12-03 16:37:47-08,59619754,59999715,359,0.6926196769784173
23936486,2025-12-03 16:37:59-08,13413039,60000000,132,1.0645636854326923
23936487,2025-12-03 16:38:11-08,23949098,60000000,165,1.0280842192066668
23936488,2025-12-03 16:38:23-08,58938487,60000000,250,2.3010307992901233
23936489,2025-12-03 16:38:35-08,17319374,60000000,183,0.804564688062937
23936490,2025-12-03 16:38:47-08,58152042,60000000,238,0.5494225028363636
23936491,2025-12-03 16:38:59-08,15964187,60000000,140,0.872959337398374
23936492,2025-12-03 16:39:11-08,57500534,60000000,277,0.654864143125
23936493,2025-12-03 16:39:23-08,3178737,60000000,52,1.4569150242682927
23936494,2025-12-03 16:39:35-08,58536615,59941408,423,0.46545927623450134
23936495,2025-12-03 16:39:47-08,18823305,59882873,154,0.8452708784135338
23936496,2025-12-03 16:39:59-08,24043812,59941351,150,0.5654919159658119
23936497,2025-12-03 16:40:11-08,31660694,59999886,301,0.4881196644789916
23936498,2025-12-03 16:40:23-08,27238878,60000000,200,0.575355260202454
23936499,2025-12-03 16:40:35-08,3430328,60000000,51,2.7114246792444443
23936500,2025-12-03 16:40:47-08,56371283,60000000,357,0.5523848466728624
23936501,2025-12-03 16:40:59-08,19650673,60000000,87,1.7664143949210527
23936502,2025-12-03 16:41:11-08,42559713,60000000,397,0.6306453459233227
23936503,2025-12-03 16:41:23-08,27350123,59941408,210,0.7025834065595238
23936504,2025-12-03 16:41:35-08,3244742,59999943,37,1.3637853374117646
23936505,2025-12-03 16:41:47-08,53074102,60000000,264,0.575873283420354
23936506,2025-12-03 16:41:59-08,24066686,59941408,200,0.8378325758068181
23936507,2025-12-03 16:42:11-08,3298358,59999943,40,2.2329210043636363
23936508,2025-12-03 16:42:23-08,48015707,60000000,208,0.28786687962576685
23936509,2025-12-03 16:42:35-08,58030875,60000000,422,0.7629359659651163
23936510,2025-12-03 16:42:59-08,13831928,60000000,169,1.4774767126392405
23936511,2025-12-03 16:43:11-08,54104217,60000000,464,0.4012297940247525
23936512,2025-12-03 16:43:23-08,22034893,60000000,176,0.48020980171428573
23936513,2025-12-03 16:43:35-08,29302805,60000000,229,0.5939797589319372
23936514,2025-12-03 16:43:47-08,56696930,60000000,268,0.6630826075943775
23936515,2025-12-03 16:43:59-08,21066772,60000000,102,1.0111938513510639
23936516,2025-12-03 16:44:11-08,18435280,60000000,175,0.9253196478471337
23936517,2025-12-03 16:44:23-08,17166447,59941408,104,1.8425190985434783
23936518,2025-12-03 16:44:35-08,59808842,59999943,427,0.4228302294070513
23936519,2025-12-03 16:44:47-08,24230799,60000000,241,0.3727428060416667
23936520,2025-12-03 16:44:59-08,17296996,60000000,188,0.6542805455562499
23936521,2025-12-03 16:45:11-08,15885597,60000000,161,1.1070900736478873
23936522,2025-12-03 16:45:23-08,21372132,59941408,277,0.2752917076497696
